[ADMIN_ACCESS_SUCCESS] 2026-04-05T08:55:13.962Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T08:55:14.060Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-05T08:55:49.893Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_FAILED] 2026-04-05T08:55:55.967Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_FAILED] 2026-04-05T08:56:12.147Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_FAILED] 2026-04-05T08:56:14.775Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:00:37.533Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:00:37.584Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-05T09:00:44.429Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_FAILED] 2026-04-05T09:00:50.113Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_FAILED] 2026-04-05T09:03:00.192Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=missing_credentials
